company,job,number_of_evaluations
Credit Benchmark Limited,Data Operations Analyst,-
SapientRazorfish,Junior Creative Team,42 reviews
Royal Veterinary College,Research Associate in Tropical Disease Data Platforms,8 reviews
Harrods Careers,Technical Assistant,-
Dixons Carphone,Data Engineer,410 reviews
Spotify,Research Scientist,33 reviews
Takeda Pharmaceutical,Medical Science Liasion (Field Based),520 reviews
Bloomberg,Debt Capital Market Data Analyst,629 reviews
BCG Digital Ventures,Lead Data Scientist,4 reviews
Shop Direct,Lead Data Scientist,209 reviews
Investment Technology Group (ITG),Quantitative Researcher,9 reviews
IQVIA,Junior Statistician,95 reviews
Nielsen,Data Science Manager,"1,866 reviews"
XR Trading LLC,Junior Quantitative Trader - London,4 reviews
City University London,Research Fellow,19 reviews
EXPERIAN,Data Engineer,786 reviews
Maplecroft,Research Associate (12 months fixed term),2 reviews
Prostate Cancer UK,Data Import & Integrity Executive,2 reviews
Teradata,"Data Foundation Practice Lead, UK & Ireland",129 reviews
Forward3D,Data Team Lead,5 reviews
Forward3D,Data Scientist (Mid-Level),5 reviews
Apple,AMP - Senior Software/Data Engineer,"5,529 reviews"
Medpace,Proposal Writer,52 reviews
Avanade,Data Scientist,185 reviews
PERFORM Group,Data Architect (UK 1011),31 reviews
Wunderman,Lead Data Scientist,187 reviews
Elsevier,Lead Data Scientist,469 reviews
Harnham,PRINCIPAL DATA SCIENTIST- CUSTOMER SCIENCE,-
Alexander McQueen,Data & Interfaces Manager,11 reviews
Mint Selection,Senior Data Scientist,-
Farfetch,Junior Analyst,-
JP Morgan Chase,Lead Software Engineer for Data Science - Exec Director,"19,910 reviews"
Blackfield Associates,Market Research & Data Analyst,-
Capgemini,"Head of Data Science - Financial Services, London","5,578 reviews"
GlaxoSmithKline,Principal Clinical Data Scientist,"2,939 reviews"
Farfetch,Lead Data Scientist - Innovation,-
McKinsey & Company,Principal Data Scientist - QuantumBlack,361 reviews
Kindred Group,Principal Data Scientist,3 reviews
BJSS,Senior Data Scientist,-
Audio Network,Data Engineer,3 reviews
RJ Obrien and Assoc.,Brokerage Receivable Associate,-
Facebook,"Data Scientist, Product",344 reviews
R.J. O'Brien Limited,Brokerage Receivable Associate,-
PERFORM Group,Head of Data Management (UK 1658),31 reviews
LV=Careers,Senior Data Scientist,25 reviews
Stott & May Professional Search Limited,Data Scientist,-
Expedia,Statistician,591 reviews
RBC,GTI Data Manager,"2,702 reviews"
dunnhumby,Data Developer,31 reviews
Willis Towers Watson,Willis Re - Research Analyst,693 reviews
PERFORM Group,Senior Data Scientist (UK 1622),31 reviews
Sportradar,Cricket Trader,4 reviews
Stanton House,Junior Data Scientist,-
Coca-Cola European Partners,Data Visualisation Lead,"1,234 reviews"
TIBCO Software,Senior Data Scientist,29 reviews
City University London,Student Experience Officer,19 reviews
AI-Adam,Data Analyst,-
Microsoft,Lead Data Scientist,"4,486 reviews"
Templeton and Partners,Senior Data Scientist,-
Soma Analytics,Machine Intelligence Intern,-
Optimove,Data Insights Consultant,-
Facebook,"Data Engineer, Analytics",344 reviews
KORNFERRY,Associate Researcher- Life Sciences/ UK,131 reviews
Palantir Technologies,Data Engineer,14 reviews
NGDATA,Business Intelligence Consultant (London),-
GlobalWebIndex,Data Manager,-
McLaren,Software Engineer Internship 2018,56 reviews
Hitachi Consulting UK Limited,Master Data Management (MDM) Consultant,159 reviews
KPMG UK,Data Scientist - Financial Crime,"4,383 reviews"
CRF Health,Scientific Advisor,18 reviews
Ipsos,Internship Programme,321 reviews
Barking Havering and Redbridge Univ Hospitals NHS...,Band 2 Medical Laboratory Assistant - Pre Natal Screening,-
Man,AHL Data Technologist,27 reviews
Citi,Data Engineer (London Innovation Lab),"13,834 reviews"
Critical Mass,Marketing Science Analyst,15 reviews
Oracle,Data Center Technician - Slough,"3,952 reviews"
Natural History Museum,"Postdoctoral Researcher, Martian Meteorites",24 reviews
IQVIA,Data Analyst Engineer,95 reviews
RB,Medical Science Lead,595 reviews
Cerner Corporation,Clinical Researcher,951 reviews
UCB,Associate Scientist,201 reviews
UCB S.A.,Associate Scientist,201 reviews
moneysupermarket.com,Product Data Analyst,6 reviews
King.com,Data Engineer,-
Farfetch,Software Engineer - Data Science and Big Data,-
Forward3D,Senior Data Scientist,5 reviews
Schibsted Media Group,Data Engineer,-
Expedia,"Analyst, Customer Analytics",591 reviews
QuintilesIMS,Data Scientist / Software Engineer in London,"1,015 reviews"
University College London,Research Associate in Bioinformatics/Computational Biology,111 reviews
CHAMP Cargosystems,Customer Care Representative (Level 1 Desk Analyst) London,-
InterQuest Group,Junior Data Scientist,2 reviews
Worldgroup Careers,"Senior Data Scientist, MRM Meteorite",55 reviews
Farfetch,Lead Data Scientist - Experimentation,-
Chemistry Search & Selection,Healthcare Advertising Science Writer,-
LMA Recruitment,Data Science Analyst,-
Babylon Health,Software/Data Engineer - AI Cognition,-
Prostate Cancer UK / Peter Lockyer,Data Import & Integrity Executive,-
Nigel Frank International Limited,Junior Data Analyst,41 reviews
FACEIT,Data Engineer,2 reviews
Visa,Business Data Analyst,591 reviews
Medical Research Council,Microscopist LMS,53 reviews
Prostate Cancer UK,Data Delivery & Quality Manager,2 reviews
National Physical Laboratory,Research Scientist - Materials Thermal Performance,12 reviews
East Surrey College,Science Lecturer,10 reviews
Balfour Beatty,Patching Operative - Level 2,668 reviews
Nigel Frank International Limited,Data Science,41 reviews
Harnham,DATA SCIENCE CONSULTANT,-
Coca-Cola European Partners Deutschland GmbH,Data Visualisation Lead,6 reviews
Asos.com,Brand Insight Executive (Global),223 reviews
MediaCom,Data Engineer,-
CGG,InSAR Scientist,95 reviews
Medidata Solutions,Principal - Data Science & Machine Learning (Innovation Labs),30 reviews
JP Morgan Chase,Asset Management - Senior Data Scientist – London (Associate/ Vice President),"19,910 reviews"
GroupM,Senior Data Scientist,88 reviews
CGG,GIS Developer – 2018 Graduate Scheme,95 reviews
William Alexander Recruitment Ltd,Data Scientist,-
RBS,Data Innovation Strategy Manager,"2,783 reviews"
IQVIA,Associate,95 reviews
Turner,Games Analyst - Big Pixel Studios,378 reviews
EY,Data Analytics – all grades - EMEIA Tax Centre,"5,232 reviews"
Datatech Analytics,Data Science Consultant,-
Harnham,DATA SCIENCE – PRESALES CONSULTANT,-
Medical Research Council,MRC Postdoctoral Research Scientist LMS,53 reviews
Farfetch,Senior Data Scientist,-
GlaxoSmithKline,HR Data Analyst II,"2,939 reviews"
Red Ventures,Data Engineer,464 reviews
Michael Page UK,Graduate Data Scientist,32 reviews
Balfour Beatty,Performance Reporting Analyst,668 reviews
Spotify,Data Engineer,33 reviews
Elsevier,Data Engineer,469 reviews
Abide Financial,Onboarding Analyst,-
Brave Software Inc.,Machine Learning Researcher,-
Facebook,"Data Scientist, Community Integrity",344 reviews
KPMG UK,Data Analytics Assistant Manager - Unstructured Data,"4,383 reviews"
BJSS,Data Engineer,-
University College London,Research Associate in Bioinformatics,111 reviews
,Spectroscopy and Modelling Research Scientist,-
Smiths Detection,Laboratory Technician,96 reviews
Harnham,DATA SCIENTIST,-
Succinct,Associate Medical Writer,-
Expedia,Marketing Science - Analyst,591 reviews
S&P Global,"Summer Intern, Financial Institutions Delivery Team",590 reviews
Deloitte,"Deloitte, Risk Advisory, Risk Analytics, Data Science/Artificial Intelligence- Senior Consultant/Manager, London","6,694 reviews"
Succinct,Medical Writer,-
IQVIA,Data Integration Engineer CODE UK,95 reviews
Harnham,DATA SCIENCE LEAD - OPTIMISATION,-
Adarga,Summer Intern - Graphic Design,-
Salt Recruitment,Data Scientist,2 reviews
Mavenlink,Business Intelligence Consultant,3 reviews
Frontier (The Society for Environmental Exploratio...,Research and Operations Intern,-
Datatech Analytics,Graduate Data Science Analyst,-
Evidera,Research Associate II/Database Analytics - London,8 reviews
Carbon Credentials Energy Services Limited,Junior Programmer,-
Chemistree Solutions Ltd,Medical Science Liaison,-
Thermo Fisher Scientific,Support Scientist,"1,808 reviews"
Institute of Physics,Programme Manager (Data Insights & Knowledge Exchange),10 reviews
Harnham,JUNIOR DATA SCIENTIST - PREDICTIVE ANALYTICS,-
CarTrawler,Senior Data Scientist,10 reviews
News UK,Customer Analyst,24 reviews
Serco Group,Patient Ambassador,"3,093 reviews"
Cerner Corporation,Junior Interface Consultant,951 reviews
Babylon Health,Machine Learning Scientist,-
neo4j.com,"Front End Developer, Data Visualization",-
JP Morgan Chase,Chief Data Office - Data Manual Lineage Analyst - Associate,"19,910 reviews"
Smarkets,Data Platform Engineer,-
Walnut Unlimited,Trainee Data Services Exec,-
Lonza,Analytical Scientist,-
Facebook,Consumer Researcher,344 reviews
PwC,Data & Analytics - Manager - London,"5,524 reviews"
Worldpay,Senior Data Scientist,166 reviews
Twitter,Machine Learning Researcher,55 reviews
InterQuest Group,Data Scientist,2 reviews
Inmarsat,Data Engineer,28 reviews
Roche,"Data Scientist/Senior Data Scientist, Real World Data – Neuroscience & Rare Diseases","1,541 reviews"
Investec,Graduate – Analytics,31 reviews
Oliver James Associates,Data Science - Insurance,4 reviews
The City Of London,Port Health Technical Officer,3 reviews
AIG Philippines Inc.,Front-End Developer - AIG Science,-
University of London,Office Manager - Permanent position,15 reviews
Sainsburys,Lead Big Data Developer,"6,330 reviews"
HSBC,Global Head of Intelligence,"9,939 reviews"
Chosen AI,Data Scientist,-
Springer Nature,"Journal Development Editor, Health Sciences",39 reviews
Real Time Recruitment Solutions,Data Scientist,-
NGDATA,Consultant (London),-
National Physical Laboratory,Higher Research Scientist – Underwater Acoustics,12 reviews
KPMG UK,Data Analytics Analyst - Tech Risk - FS Consulting,"4,383 reviews"
World Vision International,Business Process & Data Visualisation Analyst – LMMS,182 reviews
Felcana,DATA ENGINEER,-
IQVIA,Consultant,95 reviews
Grayce,Technical Analyst,-
Harnham,SENIOR DATA ANALYST- CUSTOMER SCIENCE,-
Improbable,"Research Scientist, Enterprise",-
Efficio Consulting,Knowledge Administrator - London,2 reviews
Datatech Analytics,Managing Consultant Data Science,-
Ocado,Data Engineer,369 reviews
The Chemistry Group,Statistician,-
JP Morgan Chase,Applications Development,"19,910 reviews"
AIG Philippines Inc.,Visual Designer - AIG Science,-
Harrods Limited,Technical Assistant,296 reviews
Adway Associates,"Bank – Lead Analyst, Decision Science",-
"Nomura Holdings, Inc.",Data Architect,372 reviews
Recycling Lives People Limited,Junior Consultant,-
HeartFlow,Research Scientist - Machine Learning and Image Analysis,4 reviews
Mint Selection Ltd.,Data Scientist,-
Spencer Ogden,Data Scientist,32 reviews
Expedia,"Director, Acquisition Marketing Data Science",591 reviews
Efficio Consulting,Business Analyst - London,2 reviews
PA Consulting Group,Healthcare: Delivering Cost Improvement Programmes,45 reviews
Maana,Customer Solutions Analyst (London),-
G-Research,Financial Analyst,2 reviews
Harnham,HEAD OF PERSONALISATION - DATA SCIENCE,-
Ocado,Head of Data Services,369 reviews
Efficio Consulting,Management Consultant - London,2 reviews
Balfour Beatty,Tunnel Surveyor,668 reviews
Evidera,Data Analyst/Senior Data Analyst - Patient Preference Research - London,8 reviews
University of East London,Data Analytics & Management (KTP Associate) - Fixed-term contract for 24 months,60 reviews
Jacobs,Project Coordinator,"2,299 reviews"
Imperial College London,Postdoc Research Associate - UK Dementia Research Institute,108 reviews
Sportradar,Junior QA Analyst,4 reviews
Invesco,Junior Portfolio Risk Analyst,266 reviews
Spotify,Full-Stack Engineers – Revenue,33 reviews
KPMG UK,Graduate Programme 2018 - Audit ACA / CA - Empowered,"4,383 reviews"
Imperial College London,Research Fellow,108 reviews
Datatech Analytics,Priniciple Consultant Data Science,-
Adobe,Trainee Technical Consultant,439 reviews
thetrainline,Data Engineer - Clojure,-
Barclays,Quant Analyst - ERRP,"3,971 reviews"
Barclays,"VP, Data Solutions Manager","3,971 reviews"
IQVIA,Medical Sales Representative,95 reviews
Reed Exhibitions,Event Co-ordinator,60 reviews
AIG,Front-End Developer - AIG Science,"2,546 reviews"
Vodafone,Big Data Service Delivery Manager,"3,271 reviews"
Google,"Manager, Professional Services, Ads","2,392 reviews"
McLaren,C# / .NET Backend Developer,56 reviews
GSMA,Director of Ecosystem Data,24 reviews
Roche,Associate Group Director - PHC Data Science (Oncology),"1,541 reviews"
Wavemaker,Data Platforms Director,4 reviews
IHS Markit,Explore the possibilities,210 reviews
Investment Technology Group (ITG),Quantitative Analyst,9 reviews
Sainsburys,Operational Governance Analyst,"6,330 reviews"
AI-Adam,Senior Data Scientist,-
McLaren,R&D Engineer,56 reviews
University College London Hospitals NHS Foundation...,Sponsorship Officer,4 reviews
Tesco,Principal Data Scientist - Deep Learning,"11,678 reviews"
Prostate Cancer UK / Peter Lockyer,Data Delivery and Quality Manager,-
Aspire,Data Scientist - Entry Level,-
Aspire,Data Scientist,-
AlphaSights Ltd.,Senior Data Analyst,12 reviews
Health Services Laboratories LLP,Biomedical Scientist,-
Ipsos,Senior Data Scientist,321 reviews
Avanade,"Cons, Data Engineering",185 reviews
Chubb,UNDERWRITING PORTFOLIO ANALYST,238 reviews
Harnham,"MULTIPLE DATA SCIENTISTS - £40,000 - £90,000",-
BAE Systems Applied Intelligence,Graduate Engineer UK 2018,45 reviews
McLaren,Applied Technologies Graduate Software Engineer,56 reviews
Pentasia,Data Scientist,-
British Airways,Commercial Analyst,763 reviews
G-Research,Machine Learning Researcher,2 reviews
Datatech Analytics,Data Scientist,-
dunnhumby,Price & Promotion Associate,31 reviews
The Boston Consulting Group,Analyst - Expand Research,182 reviews
Vodafone,Big Data Engineer,"3,271 reviews"
Schibsted Media Group,UX Researcher,-
Public Health England,Information Officer,38 reviews
Sheald Ltd,Data Analyst,-
Resource Flow,"Project Manager, Data Science, AML, KYC, Anti Money Laundering",-
Harnham,DATA SCIENTIST - FORECASTING,-
Lonza,Scientist (12 month FTC),-
Mondelez International,Global Consumer Insights Analyst,"2,149 reviews"
Blue Pelican,SENIOR DATA SCIENTIST / ANALYST,-
"Digital Management, LLC",Data Analytics Developer/Architect,116 reviews
Badoo,Senior Data Scientist - Machine Learning,6 reviews
Infinity.co,Software Engineer - Backend (London),10 reviews
Eversheds Sutherland,Graduate eDiscovery Analyst,9 reviews
PwC,Senior Associate - Data Protection,"5,524 reviews"
Metrica Recruitment,Data Scientist,-
Gilead,"Financial Analyst/Data Scientist, Centre of Excellence - Stockley Park",237 reviews
Fitch Ratings,Junior Developer- Financial Institutions- London,62 reviews
Natural History Museum,"Postdoctoral Researcher, GCRF Colombia",24 reviews
Eaglecliff,Big Data Engineer,-
Cerner Corporation,Business Intelligence Developer,951 reviews
dunnhumby,Analyst - 6 month contract,31 reviews
Harnham,DATA SCIENTIST - DISRUPTIVE START-UP,-
60 Degrees,ASR Team Member,-
Harnham,DATA SCIENTIST - HEDGEFUND,-
PwC,Data Analyst - Financial Decisions and Analysis - Senior Associate,"5,524 reviews"
Icon plc,SMA II,236 reviews
Castleton Commodities International,Quantitative Analyst,6 reviews
GroupM EMEA,Analyst,-
Goldman Sachs,Securities - Prime Services Strats - Analyst - London,"1,116 reviews"
"Alexion Pharmaceuticals,Inc.",Medical Advisor UK&I PNH,82 reviews
Farfetch,BI Analyst,-
Groupon,Data Warehouse Engineer,615 reviews
AIG Philippines Inc.,Deep Learning Scientist,-
Robert Walters,Data Scientist,46 reviews
Cogs Agency,Head of Data Science,5 reviews
National Physical Laboratory,Data Analyst - Digital Health,12 reviews
King's College Hospital NHS Foundation Trust,Financial Modeller,12 reviews
EY,IT Forensics - Associate,"5,232 reviews"
NSI Bluefin,Data Scientist,-
Marks & Spencer,Optimisation Analyst & Developer,"4,315 reviews"
Harnham,SENIOR ANALYST- DATA SCIENCE,-
Nigel Frank International Limited,Data Science - SQL - Python - Machine Learning - London - GBP50k,41 reviews
Bank of America,Quantitative Finance Analyst,"21,521 reviews"
Blue Pelican,Data Scientist,-
Barclays,Decision Analyst,"3,971 reviews"
JP Morgan Chase,CIB Operations (Derivatives Ops ) - Global Clearing Ops Data Scientist - London - Vice President,"19,910 reviews"
Acumen Solutions,Salesforce Data Analyst,11 reviews
Google,"Big Data Product Specialist, Google Cloud","2,392 reviews"
Datatech Analytics,Data Science Developer,-
Citi,Data Analytic Capability Manager,"13,834 reviews"
Expedia,Analyst - Content,591 reviews
Regeneron,Temp - Administrative Assistant,133 reviews
Aspire,Data Scientist - Banking - London,-
The App Business,IT Support Administrator,-
Harnham,DATA SCIENTIST - R&D,-
Farfetch,Pricing Strategy Analyst – China,-
LexisNexis,Apprentice,715 reviews
Harnham,DATA SCIENCE CONSULTANT – SCALEABLE MACHINE LEARNING SOLUTIONS,-
Google,Software Engineer,"2,392 reviews"
AIG,Visual Designer - AIG Science,"2,546 reviews"
Datatech Analytics,Data Scientist - Customer Economics,-
Visa,Cross,591 reviews
General Electric,Healthcare Consultants - Clinical,220 reviews
Elsevier,Data Engineering Lead,469 reviews
Nigel Frank International Limited,Data Scientist - Fenchurch Street,41 reviews
Tesco,Data Scientist (Supply Chain Transformation),"11,678 reviews"
