company,job,number_of_evaluations
Interactive Brokers,Data Scientist,23 reviews
Businesses UNITED TECHNOLOGIES CORP. HEADQUARTERS,DATA SCIENTIST,-
Scholastic,Data Mining Analyst,490 reviews
Federal Reserve Bank of New York,Business Process Engineer Associate - Applied Strategy and Practices - Data and Statistics,450 reviews
Viacom,"Internships, Research & Data Strategy/Data Science- Fall '18",424 reviews
Warby Parker,Data Engineer,30 reviews
Columbia University,Financial & Data Analyst,724 reviews
Morgan Stanley,Data Analytics and Reporting Specialist,"2,614 reviews"
FIRST Global Events Agency,Data Manager - Cvent/Events,2 reviews
Ipsos North America,USPA - Data Scientist,321 reviews
Mount Sinai,Data Science Intern - Clinical Innovation - Full Time,"1,001 reviews"
Hospital for Special Surgery,Research Data Analyst,262 reviews
DEPT OF CITYWIDE ADMIN SVCS,Data Analyst,-
"Two Sigma Investments, LLC.",Data Research and Acceleration Analyst,7 reviews
DEPT OF CITYWIDE ADMIN SVCS,Data Architect,-
Casper,"Analyst, Data & Analytics",32 reviews
Spotify,"Data Scientist, Growth Insights",33 reviews
VISITING NURSE SERVICE OF NEW YORK,Data And Reporting Analyst,205 reviews
Farfetch,Data Scientist,-
Custoria,Data Scientist,-
PepsiCo,eCommerce Data Reporting Analyst,"9,708 reviews"
Informatica,Big Data Adoption Services Senior Consultant,122 reviews
Cowen Execution Services,Data Salesperson,-
Facebook,"Data Scientist, Analytics",344 reviews
EQUINOX,HRIS Assistant,665 reviews
NFL - National Football League,"Manager, Data Governance",262 reviews
Morgan Stanley,Senior Data Analyst,"2,614 reviews"
Capgemini,"Delivery Architect - Big Data, Talend Architect - NYC","5,578 reviews"
Mental Health Service Corps,Data Analyst,3 reviews
Verizon,Data Scientist,"19,301 reviews"
Vettery,Data Scientist,-
Dime Community Bank,Data Scientist,6 reviews
Quartet,Data Scientist,4 reviews
Elsevier,Data Scientist,469 reviews
HotelTonight,Data Scientist,5 reviews
Amazon.com,Technical Program Manager,"24,699 reviews"
Montefiore Medical Center,DATA ANALYST,803 reviews
Integral Ad Science,Data Scientist,3 reviews
AIG,Chief Data Officer,"2,546 reviews"
AIG Philippines Inc.,Chief Data Officer,-
Defined Clarity,Data Analyst / Data Scientist,-
Red Ventures,Data Analyst,464 reviews
Mount Sinai,Data Engineer - Clinical Innovation,"1,001 reviews"
Capgemini,Data Analyst,"5,578 reviews"
Public Company Accounting Oversight Board,"ISA Inspections Specialist, Data Analytics - New York",12 reviews
Criteo,"Data Analyst, Operations Efficiency Americas",21 reviews
Undertone,Data Analyst Intern,9 reviews
Innovations for Poverty,"Research Analyst, Research Transparency & Data Accountability",-
Northwell Health,Data Research Analyst,767 reviews
Weber Shandwick,Data Scientist - Bomoda,98 reviews
DEPT OF HEALTH/MENTAL HYGIENE,"Data Analyst, Bureau of Environmental Sciences and Engineering",8 reviews
"AbleTo, Inc.",Data Scientist,11 reviews
Reorg Research,Data Scientist,-
AllianceBernstein,Data Scientist,56 reviews
Albert Einstein College of Medicine,Data Analyst,142 reviews
Aclara,Data Analyst,58 reviews
Morgan Stanley,NLP/ML Data Engineer,"2,614 reviews"
AppNexus,Data Analyst,9 reviews
Bank of America,Architect,"21,520 reviews"
Frame.io,Security Threat Intelligence,-
Enterprise Community Partners,Data Analyst,15 reviews
AppNexus,"VP, Data Science",9 reviews
Oath Inc,Tumblr: Data Scientist (Analytics),5 reviews
Penguin Random House LLC,Data Scientist/Machine Learning Engineer,279 reviews
Saratoga Medical,Data Analyst,11 reviews
Mount Sinai,DATA SCIENCE ANALYST I - CARDIOLOGY,"1,001 reviews"
KPMG,"Associate, Data Scientist","4,382 reviews"
Guidepoint Global,"Healthcare Analyst, Data Insights",11 reviews
New York City Department of Education .,"Data Analytics Associate, District 79","1,342 reviews"
Warby Parker,Merchandising Assistant,30 reviews
Mount Sinai,DATA SCIENTIST - SCIENTIFIC COMPUTING,"1,001 reviews"
Twitter,Machine Learning,55 reviews
Amazon.com,Specialist Solution Architect: NoSQL,"24,699 reviews"
Etsy,"Data Analyst, Members Operations",30 reviews
Dotdash,Data Scientist,-
Etsy,"Engineering Manager, Big Data Integrations",30 reviews
KPMG,Director of Big Data Software Engineering,"4,382 reviews"
7Park,Data Scientist,-
Related Management,Data Analyst,118 reviews
The New York Times,Data Editor,191 reviews
DigitasLBi,"Manager, Data & Analysis",149 reviews
Ruder Finn Inc,"Data Analyst, RFI Studios",-
Medidata Solutions,Genomic Data Scientist,30 reviews
EQUINOX,Data Engineer,665 reviews
Denodo,Data Engineer - SQL / Big Data / Java,-
"Amplify Education, Inc.",Data Scientist,5 reviews
Animoto,Data Science Intern,-
WeWork Global Technology,Analyst - Data Analytics,-
360i,Junior Database Engineer,14 reviews
Amazon.com,Software Development Engineer,"24,699 reviews"
Sapient Global Markets,Data Scientist,39 reviews
"Two Sigma Investments, LLC.",Data Scientist,7 reviews
DigitasLBi,"Manager, Data and Analysis",149 reviews
Bank of America,Associate / VP,"21,520 reviews"
Aetna,Data Scientist,"3,251 reviews"
Spotify,Data Scientist (Product),33 reviews
Metavision,Operations Associate,88 reviews
Columbia University,Data Engineer,724 reviews
Comcast,Data Scientist,"11,334 reviews"
Google,"Data Center Mechanical Engineer, Mechanical Design and Commissioning Quality","2,391 reviews"
TripleLift,"Data Scientist, Analytics",-
Freshly,Data Analyst,7 reviews
ITL USA,Data Scientist,3 reviews
Facebook,Data Engineer,344 reviews
Marsh,Data Analyst - Talent & Inclusion,176 reviews
OnDeck,Data Warehouse Engineer,10 reviews
Success Academy Charter Schools,Data Architect,80 reviews
Hospital for Special Surgery,Data Engineer,262 reviews
ACLU,Data Reporting Analyst,69 reviews
Taboola,Data Analyst - Business Intelligence,3 reviews
Capital One,Data Visualization Data Scientist,"6,097 reviews"
Estee Lauder,"Manager, Data Analytics and CRM, La Mer","1,343 reviews"
Accenture,Big Data Engineering Architect Consultant,"13,886 reviews"
MealPal,Data Analyst,-
NFL - National Football League,"VP, League-Wide Data & Analytics",262 reviews
Columbia University,Data Analyst - Cardiology,724 reviews
Getty Images,Data Scientist,91 reviews
Annalect,Data Scientist,7 reviews
State Street,Cloud Data Analyst - New York,"1,855 reviews"
Teach For America,Data Scientist,285 reviews
Spotify,Data Engineer,33 reviews
NTT,Metrics and Data Analytics Development Lead,"1,482 reviews"
"GfK, Consumer Insights",Research Associate,-
Carat USA Inc.,"Associate, Consumer Insight",-
Breaking Ground,Temporary Data Analyst,33 reviews
The Points Guy,Data Analyst,-
AIG Philippines Inc.,Data Scientist Analyst JG19,-
"ALM Media Properties, LLC.","Staff Reporter, Inhouse Desk",-
New York Life Insurance Co,NYL Post Grad Internship: Data Scientist/Statistician,"1,622 reviews"
ADMIN TRIALS AND HEARINGS,Data Analyst,-
PepsiCo,eCommerce Data Science & Machine Learning Analyst,"9,708 reviews"
NBCUniversal,"Director, Data Science – Machine Learning, Big Data, Data Mining","1,694 reviews"
Amazon.com,Cloud Infrastructure Architect,"24,699 reviews"
KPMG,Big Data Software Engineer,"4,382 reviews"
SUNY Downstate Medical Center,DATA ANALYST,125 reviews
JP Morgan Chase,Digital Data Scientist,"19,910 reviews"
DigitasLBi,"Associate Director, Data & Analysis",149 reviews
McKinsey & Company,Data Science Translator - TMT Sector,361 reviews
HBO,HBO Senior Data Architect,107 reviews
Bank of America,ELT Risk Developer,"21,520 reviews"
FairyGodBoss,Data Engineer,-
Denodo,Data Services Engineer,-
Amazon.com,"Manager, Enterprise Support","24,699 reviews"
The New York Times,Data Scientist,191 reviews
Kickstarter.com,"Data Analyst, Product Analytics",-
National Financial Partners,EPIC Data Analyst,51 reviews
Blue Apron,Principal Researcher,401 reviews
GCM Grosvenor,Business Intelligence Group (BIG) Assistant Vice President,6 reviews
Blue Apron,Senior Data Analyst,401 reviews
KPMG,"Manager, Big Data Architect","4,382 reviews"
Facebook,"Head of Industry, Retail Big Box",344 reviews
Denodo Technologies,Data Services Engineer,-
Rockstar New York,Data Scientist,-
Neuberger Berman,Data Scientist,59 reviews
Weight Watchers International,Data Scientist,327 reviews
Carat,"Associate, Consumer Insight",95 reviews
Northwell Health,Spclst Data Analyst,767 reviews
quip,Data Analyst,-
Network Integration-Operations (C1715) NYU Langone...,Sr. Data Analyst,462 reviews
The NPD Group,Data Scientist – Machine Learning,37 reviews
Celmatix,Clinical Data Analyst,-
The New York Times,Data Analyst,191 reviews
Amazon.com,Partner Solutions Architect,"24,699 reviews"
National Debt Relief,Data Scientist,87 reviews
sbe Entertainment Group,Data Analyst/ NYC or Miami,24 reviews
Liquidnet,Java Developer | Big Data for Equities Analytics,7 reviews
Morgan Stanley,Engineer - Data Network,"2,614 reviews"
NYSTEC,Clinical Data Analyst,4 reviews
NYP/Weill Cornell Medical Center,Analyst Data Patient Centered Care - Part Time,999 reviews
Celmatix,Data Engineer,-
"BlackRock Financial Management, Inc.",Python Developer - Data Analysis,311 reviews
NYU Langone Hospitals Triage Services (H1614),Senior Data Analyst,462 reviews
adMarketplace,"Manager, Data Analytics",11 reviews
"Two Sigma Investments, LLC.",Data Research and Acceleration Analyst - Part-time Internship (Fall 2018),7 reviews
MUFG,Data Reporting Analyst,37 reviews
Amazon.com,Principal Database Solutions Architect,"24,699 reviews"
S&P Global,Data Engineer,590 reviews
HOUSING PRESERVATION & DVLPMNT,Data Analyst,83 reviews
DEPT OF ENVIRONMENT PROTECTION,Data Warehouse Architect,29 reviews
DEPT OF INFO TECH & TELECOMM,Data Engineer,31 reviews
AIG,Data Scientist Analyst JG19,"2,546 reviews"
The Madison Square Garden Company,Data Platform Engineer,341 reviews
Envisagegroup,Bookkeeper/Data Analyst,-
Relay Graduate School of Education,Data Engineer,4 reviews
Columbia University,"Data Analyst, Annual Fund Programs",724 reviews
McKinsey & Company,Data Scientist - Journey Analytics,361 reviews
DEPARTMENT OF SANITATION,Data Analyst 2,90 reviews
Success Academy Charter Schools,Business Analysts - Data Management and Analytics,80 reviews
PlaceIQ,Data Analyst,7 reviews
Comcast,Lead Big Data Engineer,"11,334 reviews"
New York University,Research Data Repository Administrator,687 reviews
Amazon.com,Operations Manager,"24,699 reviews"
MM.LaFleur,Separates Merchandise Associate,4 reviews
DigitasLBi,Lead Data Scientist,149 reviews
Accenture,LabVantage LIMS Data Architect,"13,886 reviews"
Neuberger Berman,CRM Admin/Data Analyst,59 reviews
EXL,Big Data Scrum Master,"1,155 reviews"
Wunderman,Global Client Lead,187 reviews
Businesses UNITED TECHNOLOGIES CORP. HEADQUARTERS,DATA ARCHITECT,-
3Q Digital,Data Scientist,9 reviews
Mount Sinai,DATA SCIENCE ANALYST I - GENETIC & GENOMIC SCIENCES,"1,001 reviews"
VISITING NURSE SERVICE OF NEW YORK,Data Warehouse Developer,205 reviews
"Jefferies & Company, Inc.","Data Science Working Group Intern (Part-Time), - Equities- US Research Sales",111 reviews
Capgemini,Big Data Developer,"5,578 reviews"
Related Management,HR Data Analyst,118 reviews
AIG Philippines Inc.,Business Data and Process Analyst,-
JP Morgan Chase,"VP, Data Scientist","19,910 reviews"
SiriusXM,"Vice President, Programming Research & Data Analysis",151 reviews
WeWork Global Technology,Data Scientist - Product Analytics,-
Businesses UNITED TECHNOLOGIES CORP. HEADQUARTERS,DATA ENGINEER,-
HOUSING PRESERVATION & DVLPMNT,Data Analysis Manager,83 reviews
Healthfirst,Data Analytics Engineer,548 reviews
Morgan Stanley,Market Research Associate,"2,614 reviews"
NTT,Senior Data Network Engineer,"1,482 reviews"
NBCUniversal,"Principal, Data Science, Audience Studio","1,694 reviews"
Goldman Sachs,Consumer Finance - Decision and Data Scientist - Associate/Vice President - New York City,"1,116 reviews"
Sharecare Inc,Data Analyst,26 reviews
CBRE,Data Scientist,"1,990 reviews"
DEPT OF INFO TECH & TELECOMM,Data and Process Analyst,31 reviews
Turner,"Digital Data Analytics, Analyst",378 reviews
NYC Health + Hospitals,"Assistant Coordinating Manager, (Clinical Data Analyst), Policy and Planning Department",294 reviews
NYC HOUSING AUTHORITY,Data Support Analyst,413 reviews
TSI,Data engineer,149 reviews
Paypal,Cyber Intelligence Investigator,891 reviews
McKinsey & Company,Data Engineer,361 reviews
Managed by Q,Helper (NYC),11 reviews
Moody's Analytics,Strategist - Data Scientist,256 reviews
Li & Fung,Entry Writer,61 reviews
Memorial Sloan Kettering,"Project Mgr, Data Analysis, QA",639 reviews
A+E Networks,Senior Big Data Engineer,98 reviews
WeWork Global Technology,Data Visualization Engineer,-
Viant,"Data Analyst, Attribution Platform",6 reviews
Etsy,"Data Scientist, Analytics",30 reviews
Custoria,Data Engineer,-
The New York Times,"Data Analyst, Optimization",191 reviews
"Amplify Education, Inc.",Data Engineer,5 reviews
Quartet,Data Engineer,4 reviews
Oscar Insurance,Operations Associate,18 reviews
Medidata Solutions,Statistical Analyst/Data Scientist (Machine Learning),30 reviews
DEPARTMENT OF BUSINESS SERV.,DATA AND OPERATIONS ANALYST,9 reviews
Mount Sinai,"Data Analyst II, Oncological Sciences","1,001 reviews"
Bluecore,Senior Data Scientist,3 reviews
Managed By Q,Customer Experience Associate,11 reviews
Federal Reserve Bank of New York,Regulatory/Financial Analyst (Associate) - Data & Statistics - Research and Statistics Group,450 reviews
Warner Music Group,Claim Analyst,116 reviews
pulseData,Data Engineer,-
The City University of New York (CUNY),Business Data and Reporting Analyst Level 2,326 reviews
theSkimm,Data Engineer,-
Thornton Tomasetti.,CORE studio Data Science Intern,26 reviews
Aetna,Principal Data Scientist,"3,251 reviews"
Acumen Solutions,Salesforce Data Analyst,11 reviews
AIG,Business Data and Process Analyst,"2,546 reviews"
"Starz Entertainment, LLC","Vice President, Business Intelligence & Data Science",5 reviews
Deloitte,Data Science (Python) Consultant,"6,693 reviews"
Bloomberg,SRE - Data and Analytics Infrastructure,629 reviews
Viome,Data Engineer,-
Amazon.com,"Solutions Architect – Financial Services, Banking - New York","24,699 reviews"
Montefiore Medical Center,CLINICAL DATA ANALYST,803 reviews
The New Jewish Home,Data Science Analyst,88 reviews
American Express,Data Engineer,"5,500 reviews"
JP Morgan Chase,Merchant Services - Data Scientist Assoicate,"19,910 reviews"
Columbia University,Staff Associate,724 reviews
Citi,SVP Global Data & Digital Strategy,"13,834 reviews"
SimilarWeb,Market Intelligence Consultant,2 reviews
AIG Philippines Inc.,SAS Data Analyst,-
Butterfly Network,Data Engineer,-
Conduent,Data Analyst,"2,181 reviews"
DigitasLBi,"Senior Analyst, Data and Analysis",149 reviews
HBO,HBO Analytic Capabilities Lead,107 reviews
Capital One,"Principal Associate, Data Scientist - Time Series","6,097 reviews"
IBM,Lead Data Scientist,"21,724 reviews"
Weber Shandwick,"Junior Associate, Corporate Reputation Research",98 reviews
Earnest Research,Data Engineer,-
S&P Global Ratings,Sr. Big Data Engineer,590 reviews
KPMG,"Senior Associate, Big Data Engineer","4,382 reviews"
Success Academy Charter Schools,Data Engineer,80 reviews
OUTFRONT media,Data Scientist/Engineer,107 reviews
HBO,HBO Senior Data Engineer,107 reviews
Amazon.com,Solutions Architect Manager,"24,699 reviews"
ICF,Aviation Intern (NYC) - Fall 2018/ Spring 2019/ Summer 2019,385 reviews
Amazon.com,Software Developer Engineer,"24,699 reviews"
NIKE INC,"Director, Member Data Science","5,838 reviews"
DigitasLBi,Senior Data Scientist,149 reviews
Nielsen,Data Scientist,"1,866 reviews"
Amazon.com,Financial Services - Cloud Infrastructure Architect,"24,699 reviews"
NYP/Weill Cornell Medical Center,Business Intelligence Data Architect,999 reviews
Microsoft,Post Doc Researcher,"4,485 reviews"
BNY Mellon,Auditor (Data Analytics),"3,180 reviews"
GroupM,"Data Visualization, Consultant at Gain Theory",88 reviews
Bloomberg,Hedge Fund Data Analyst,629 reviews
FactSet Research Systems,Data and Solutions Analyst,370 reviews
Blue Apron,Food Safety Quality Assurance (FSQA) Data and Project Analyst,401 reviews
Simons Foundation,Data Visualization Engineer,4 reviews
Facebook,"Data Engineer, Analytics",344 reviews
Betterment LLC,"Data Scientist, Product",-
JP Morgan Chase,Operational Data Quality Analyst,"19,910 reviews"
CB Insights,Data Engineer,4 reviews
ConEdison,Specialist - Non-Wire Solutions,293 reviews
Casper,Data Engineer,32 reviews
WeWork,"Writer, WeWork",59 reviews
Amazon.com,Oracle DB Cloud Architect,"24,699 reviews"
Amazon.com,"Northeast Area Leader, Solutions Architecture - Fortune 500","24,699 reviews"
Google,"Communications Manager, Consumer","2,391 reviews"
Amazon.com,"Business Development Manager, Amazon EMR","24,699 reviews"
NYU School of Medicine Population Health-Health In...,Developer II-Information Mgt,462 reviews
TSI,VP DATA Base Architect,149 reviews
SimilarWeb,Market Intelligence Representative,2 reviews
Morgan Stanley,Network Data Operations Engineer (VP),"2,614 reviews"
Federal Reserve Bank of New York,Officer Strategy and Change Management - Data and Statistics - Research and Statistics Group,450 reviews
Grubhub,Sr. Data Analyst,242 reviews
Amazon.com,"Solutions Architect – Financial Services, Capital Markets - New York","24,699 reviews"
AT&T,Inventive Scientist (Labs - Data Science and AI Research),"29,104 reviews"
UNITED PARCEL SERVICE,UPSC Customer Relationship Supervisor,"25,462 reviews"
"Lehman College, CUNY",Business Data and Reporting Analyst Level I - Provisional - Admissions Office,5 reviews
TriNet,Market Data Analyst,105 reviews
MEC,Associate,88 reviews
NBCUniversal,"Principal Data Engineer, Audience Studio","1,694 reviews"
DISNEY,Senior Data Engineer,"3,915 reviews"
HelloFresh,Data Scientist - Marketing,195 reviews
DEPT OF INFO TECH & TELECOMM,loT Data Integration Architect,31 reviews
Cuebiq,Data Analyst / Client Relationship Professional,-
New York City Department of Education .,"Disciplinary Investigator, Disciplinary Support Unit","1,342 reviews"
NGDATA,"Consultant, Data Management",-
Elsevier,"VP, Data Science",469 reviews
Healthfirst,Sr. Strategic Data Analyst,548 reviews
Warby Parker,Email & Retention Manager,30 reviews
Etsy,"Data Scientist, Machine Learning & AI",30 reviews
UBS,ETL/Big Data Lead,"1,540 reviews"
[m]Platform,Data/Cloud Engineer,88 reviews
DBRS,Software/Data Engineer,8 reviews
Bluecore,Data Insights Engineer,3 reviews
BNP Paribas,IHC - Associate – Data Quality Analyst,"2,123 reviews"
MUFG,"Audit Data Analytics, Associate",37 reviews
The Coca-Cola Company,Retail Growth Manager - Small Store,"7,097 reviews"
Goldman Sachs,FICC - GS Techs,"1,116 reviews"
Applus Technologies,Data Reporting Analyst,23 reviews
KPMG,"Associate, Data Scientist/Statistics -- Financial Services","4,382 reviews"
Oscar Insurance,Research Associate,18 reviews
JP Morgan Chase,"Merchant Services - Data Scientist, VP","19,910 reviews"
Caserta,Data Engineer - AWS,3 reviews
Univision communications inc,Manager of Data Analytics,158 reviews
Wood Mackenzie,"Data Engineer, Power & Renewables",22 reviews
Bloomberg,Machine Learning Research Scientist - Pattern Recognition,629 reviews
Warner Music Group,"Coordinator, Research & Analysis",116 reviews
JP Morgan Chase,Digital Intelligence - Data Engineer,"19,910 reviews"
MLB.com,"Analyst, Club Analytics",20 reviews
C4Q,Data and Systems Analyst (Intern),-
Freshly,Data Engineer,7 reviews
Annalect,Data Engineer,7 reviews
AIG Philippines Inc.,Head of Data Transformation and Implementation,-
NFL - National Football League,Director of Football Data & Analytics,262 reviews
"The Cadmus Group, Inc.","Analyst, Energy Services (Data Analyst)",-
AIG,SAS Data Analyst,"2,546 reviews"
Pall,Data Scientist IoT-SHA000706,290 reviews
The City University of New York (CUNY),Business Data and Reporting Analyst Level I - Provisional - Admissions Office,326 reviews
Cognizant,Big Data Lead,"9,959 reviews"
Betterment LLC,"Data Scientist, Marketing",-
CheckedUp,Data Analytics Manager,-
DigitasLBi,"Vice President / Group Director, Data & Analysis",149 reviews
Boxed,VP of Data Science,10 reviews
IBM,Marketing Analytics & Data Driven Consultant - New York,"21,724 reviews"
"Jefferies & Company, Inc.",Jr. Graph Data Analyst - Corporate - CRM & Analytics,111 reviews
Facebook,"Creative Lead, Lockdown",344 reviews
NYU Winthrop Hospital,Compensation Data Analyst,284 reviews
ZocDoc,SalesOps & Strategy Associate,44 reviews
Neudesic LLC,Solution Architect - Data & Analytics,3 reviews
DEPT OF HEALTH/MENTAL HYGIENE,"Emergency Preparedness Data Scientist, Bureau of Environmental Surveillance and Policy",8 reviews
EQUINOX,Accounts Payable Processor,665 reviews
Comcast,Senior Big Data Engineer,"11,334 reviews"
JP Morgan Chase,Data Engineer,"19,910 reviews"
Nautilus Labs,Lead Data Scientist,-
Columbia University,Senior Data Analyst - Core Administration,724 reviews
Spotify,Engineering Manager – Data,33 reviews
Google,"Cloud Data Engineer, Google Professional Services","2,391 reviews"
ShopKeep,Content Writer (Part Time),9 reviews
Denodo,Enterprise Data Virtualization Consultant,-
Fortress Investment Group LLC,Compensation & Data Analyst,5 reviews
Amazon.com,"Principal Solutions Architect, Database & Analytics","24,699 reviews"
Betterment LLC,"Data Analyst, Marketing",-
App Academy,Operations Associate (NY),5 reviews
Amazon.com,Software Development Manager - Display Ads CST,"24,699 reviews"
Amazon.com,Sr. Technical Program Manager,"24,699 reviews"
Weight Watchers International,Data Engineer,327 reviews
JP Morgan Chase,Java/Big Data Software Engineer,"19,910 reviews"
Neuberger Berman,CRM Data Analyst,59 reviews
Handy,Research & Content Associate,250 reviews
AIG,Senior Data & Process Analyst,"2,546 reviews"
AIG Philippines Inc.,Senior Data & Process Analyst,-
Accenture,Big Data Engineering Architect Manager,"13,886 reviews"
Microsoft,Principal Researcher,"4,485 reviews"
Bankrate.com,Data Engineer,33 reviews
Goldman Sachs,Personal Financial Management - Decision and Data Scientist - Associate/Vice President- New York City,"1,116 reviews"
Fortress Investment Group LLC,NRZ Business Data Analyst,5 reviews
Rockstar New York,Security Data Scientist,-
